DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
#date+occurred,#admin1+code+x_origin,#admin1+name+x_origin,#admin2+code+x_origin,#admin2+name+x_origin,#admin1+code+x_destination,#admin1+name+x_destination,#admin2+code+x_destination,#admin2+name+x_destination,#affected+displaced,#affected+dispalced+families,#affected+displaced+m+adults,#affected+displaced+f+adults,#affected+dispalced+children
01/01/2018,2,Kapisa,205,Tagab,2,Kapisa,205,Tagab,1281,183,,,
01/01/2018,28,Faryab,2805,Almar,28,Faryab,2805,Almar,1519,217,,,
01/01/2018,2,Kapisa,205,Tagab,3,Parwan,304,Bagram,140,20,,,
01/01/2018,26,Khost,2603,Musakhel,5,Logar,501,Pul-e-Alam,7,1,,,
01/01/2018,13,Kunar,1302,Watapur,13,Kunar,1301,Asadabad,231,33,40,46,150
02/01/2018,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,84,12,14,13,57
02/01/2018,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,140,20,22,23,95
02/01/2018,6,Nangarhar,604,Khogyani,7,Laghman,701,Mehtarlam / Bad Pash,14,2,2,2,10
02/01/2018,7,Laghman,701,Mehtarlam / Bad Pash,7,Laghman,701,Mehtarlam / Bad Pash,12,2,2,2,8
02/01/2018,5,Logar,504,Barakibarak,5,Logar,501,Pul-e-Alam,84,12,,,
02/01/2018,19,Samangan,1906,Khuram Wa Sarbagh,19,Samangan,1901,Aybak,56,8,,,
02/01/2018,21,Ghor,,,34,Nimroz,3401,Zaranj,21,3,3,4,18
02/01/2018,31,Farah,3103,Balabuluk,34,Nimroz,3401,Zaranj,28,4,4,6,20
02/01/2018,30,Hirat,3015,Shindand,34,Nimroz,3401,Zaranj,4,1,,1,3
02/01/2018,32,Hilmand,3201,Lashkargah,34,Nimroz,3401,Zaranj,21,3,3,4,15
03/01/2018,29,Badghis,2902,Muqur,29,Badghis,2901,Qala-e-Naw,2,1,,,
