Snapshot Date (MMM-yyyy),Survey Date (dd-MMM-yyyy),Admin 0,Admin 0 pcode,Admin 1,Admin 1 pcode,Admin 2,Admin 2 pcode,Admin 3,Admin 3 pcode,Admin 4,Admin 4 pcode,Admin 5,Admin 5 pcode,Lowest Admin Level,No. of IDPs HH in collective settings,No. of IDPs Ind. in collective settings,No. of IDPs HH in individual settings,No. of IDPs Ind. Individual settings,HH,Ind,Main displacement start date (MMM-yyyy),2nd Main displacement start date (MMM-yyyy),Total No. of Returnees HH.,Total No. of Returnees Ind.,Total No. Migrant households,Total No. Migrant individuals,Country of Origin of IDP,Admin 1 Area of Origin of IDP,Confidentiality (Yes or No),"Type of Displacement (Conflict, Natural Disaster, Insecurity, Political reasons, Economic reasons, Disease, Other)",Conflict (Yes or No),Insecurity (Yes or No),Natural Disaster (Yes or No),Political reasons (Yes or No),Economic reasons (Yes or No)
Jan-2018,2018-01-05,Burundi,BDI,Bubanza,BDI001,Bubanza,BDI001002,,,,,,,Admin2,,,,,1729,8610,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-03,Burundi,BDI,Bubanza,BDI001,Gihanga,BDI001005,,,,,,,Admin2,,,,,650,3250,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-05,Burundi,BDI,Bubanza,BDI001,Mpanda,BDI001004,,,,,,,Admin2,,,,,628,3247,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-05,Burundi,BDI,Bubanza,BDI001,Musigati,BDI001003,,,,,,,Admin2,,,,,462,2385,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-03,Burundi,BDI,Bubanza,BDI001,Rugazi,BDI001001,,,,,,,Admin2,,,,,399,1705,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-14,Burundi,BDI,Bujumbura Marie,BDI017,Muha,BDI017014,,,,,,,Admin2,,,,,696,3455,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-14,Burundi,BDI,Bujumbura Marie,BDI017,Mukaza,BDI017015,,,,,,,Admin2,,,,,1766,7867,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-14,Burundi,BDI,Bujumbura Marie,BDI017,Ntahangwa,BDI017016,,,,,,,Admin2,,,,,1955,9558,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-03,Burundi,BDI,Bujumbura Rural,BDI002,Isale,BDI002006,,,,,,,Admin2,,,,,189,872,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
Jan-2018,2018-01-05,Burundi,BDI,Bujumbura Rural,BDI002,Kabezi,BDI002002,,,,,,,Admin2,,,,,299,1302,,,,,,,,,No,"Natural disaster,political reasons",No,No,Yes,Yes,No
