name,population
Rond™nia,"1,748,531"
Acre,"790,101"
Amazonas,"3,873,743"
Roraima,"496,936"
Par‡,"8,073,924"
Amap‡,"750,912"
Tocantins,"1,496,880"
Maranh‹o,"6,850,884"
Piau’,3.194.718
Cear‡,8.842.791
Rio Grande do Norte,"3,408,510"
Para’ba,"3,943,885"
Pernambuco,9.277.727
Alagoas,3.321.730
Sergipe,"2,219,574"
Bahia,"15,126,371"
Minas Gerais,"20,734,097"
Esp’rito Santo,"3,885,049"
Rio de Janeiro,"16,461,173"
S‹o Paulo,"44,035,304"
Paran‡,"11,081,692"
Santa Catarina,"6,727,148"
Rio Grande do Sul,"11,207,274"
Mato Grosso do Sul,"2,619,657"
Mato Grosso,"3,224,357"
Goi‡s,"6,523,222"
Distrito Federal,"2,852,372"
