name1,name2,value
Antioquia,Medellin,"2,569,007"
Antioquia,Abejorral,"18,779"
Antioquia,Abriaquí,"1,870"
Antioquia,Alejandría,"3,278"
Antioquia,Amagá,"30,561"
Antioquia,Amalfi,"22,860"
Antioquia,Andes,"47,747"
Antioquia,Angelópolis,"9,631"
Antioquia,Angostura,"10,832"
Antioquia,Anorí,"18,166"
Antioquia,Santafé de Antioquia,"25,395"
Antioquia,Anza,"7,619"
Antioquia,Apartadó,"206,885"
Antioquia,Arboletes,"45,710"
Antioquia,Argelia,"8,036"
Antioquia,Armenia,"3,765"
Antioquia,Barbosa,"53,943"
Antioquia,Belmira,"7,041"
Antioquia,Bello,"500,098"
Antioquia,Betania,"8,758"
Antioquia,Betulia,"17,815"
Antioquia,Ciudad Bolívar,"26,434"
Antioquia,Briceño,"8,652"
Antioquia,Buriticá,"6,403"
Antioquia,Cáceres,"43,239"
Antioquia,Caicedo,"8,519"
Antioquia,Caldas,"82,234"
Antioquia,Campamento,"8,778"
Antioquia,Cañasgordas,"16,700"
Antioquia,Caracolí,"4,460"
Antioquia,Caramanta,"5,257"
Antioquia,Carepa,"63,141"
Antioquia,El Carmen de Viboral,"49,642"
Antioquia,Carolina,"3,428"
Antioquia,Caucasia,"126,161"
Antioquia,Chigorodó,"86,239"
Antioquia,Cisneros,"8,735"
Antioquia,Cocorná,"14,891"
Antioquia,Concepción,"3,030"
Antioquia,Concordia,"20,158"
Antioquia,Copacabana,"74,408"
Antioquia,Dabeiba,"22,835"
Antioquia,Don Matías,"24,695"
Antioquia,Ebéjico,"12,452"
Antioquia,El Bagre,"51,150"
Antioquia,Entrerrios,"10,696"
Antioquia,Envigado,"249,009"
Antioquia,Fredonia,"20,841"
Antioquia,Frontino,"15,099"
Antioquia,Giraldo,"3,937"
Antioquia,Girardota,"60,611"
Antioquia,Gómez Plata,"13,567"
Antioquia,Granada,"9,890"
Antioquia,Guadalupe,"6,330"
Antioquia,Guarne,"52,129"
Antioquia,Guatapé,"4,993"
Antioquia,Heliconia,"5,536"
Antioquia,Hispania,"4,895"
Antioquia,Itagui,"282,815"
Antioquia,Ituango,"19,222"
Antioquia,Jardín,"13,345"
Antioquia,Jericó,"11,679"
Antioquia,La Ceja,"55,843"
Antioquia,La Estrella,"67,254"
Antioquia,La Pintada,"6,289"
Antioquia,La Unión,"19,588"
Antioquia,Liborina,"9,601"
Antioquia,Maceo,"6,457"
