province,abbr,zone,capital,area,population1984,population2010,population2015
Bas-Uele,BUL,Prov,Buta,148331,545458,1004000,1138000
Équateur,EQU,Prov,Mbandaka,103902,635298,1315000,1528000
Haut-Katanga,HKA,Prov,Lubumbashi,132425,1391617,3788000,4617000
Haut-Lomami,HLO,Prov,Kamina,108204,891021,2426000,2957000
Haut-Uele,HUL,Prov,Isiro,89683,893111,1643000,1864000
Ituri,ITU,Prov,Bunia,65658,1749256,3219000,3650000
Kasaï,KAS,Prov,Tshikapa,95631,1096783,2388000,2801000
Kasaï-Central,KSC,Prov,Kananga,59500,1298463,2827000,3317000
Kasaï-Oriental,KSO,Prov,Mbuji-Mayi,9545,1080610,2634000,3145000
Kinshasa,KIN,Cap,Kinshasa,9965,2664309,8683000,11575000
Kongo Central,KGC,Prov,Matadi,53920,1994573,4684000,5575000
Kwango,KWA,Prov,Kenge,89974,854325,1844000,2152000
Kwilu,KWI,Prov,Bandundu,78533,2180023,4704000,5490000
Lomami,LOM,Prov,Kabinda,56426,839424,2046000,2443000
Lualaba,LUA,Prov,Kolwezi,121308,774221,2108000,2570000
Maï-Ndombe,MND,Prov,Inongo,127243,735393,1587000,1852000
Maniema,MAN,Prov,Kindu,132250,849675,1970000,2333000
Mongala,MON,Prov,Lisala,58141,723499,1498000,1740000
Nord-Kivu,NKV,Prov,Goma,59483,2434275,5621000,6655000
Nord-Ubangi,NUB,Prov,Gbadolite,56644,527874,1093000,1269000
Sankuru,SAN,Prov,Lusambo,104331,725191,1768000,2110000
Sud-Kivu,SKV,Prov,Bukavu,64791,2107988,4874000,5772000
Sud-Ubangi,SUB,Prov,Gemena,51648,1022243,2145000,2458000
Tanganyika,TAN,Prov,Kalemie,134940,922495,2512000,3062000
Tshopo,TSO,Prov,Kisangani,199567,1126847,2074000,2352000
Tshuapa,TSU,Prov,Boende,132957,665471,1378000,1600000
