Municipality,Population,Area
Aðaldælahreppur,256,565
Akrahreppur,225,1361
Akraneskaupstaður,5786,9
Akureyrarkaupstaður,16756,132
Arnarneshreppur,174,84
Árneshreppur,50,724
Ásahreppur,164,2966
Bæjarhreppur,105,511
Bláskógabyggð,924,3278
Blönduóssbær,903,181
Bolungarvíkurkaupstaður,920,111
Borgarbyggð,3625,5191
Borgarfjarðarhreppur,146,444
Breiðdalshreppur,232,452
Dalabyggð,715,2173
Dalvíkurbyggð,1924,595
Djúpavogshreppur,454,1153
Eyjafjarðarsveit,981,1795
Eyja- og Miklaholtshreppur,139,378
Fjallabyggð,2298,365
Fjarðabyggð,4844,1171
Fljótsdalshérað,3990,8917
Fljótsdalshreppur,376,1529
Flóahreppur,526,291
Garðabær,9444,39
Grímseyjarhreppur,103,6
Grímsnes- og Grafningshreppur,358,891
Grindavíkurbær,2614,434
Grundarfjarðarbær,974,152
Grýtubakkahreppur,367,438
Hafnarfjarðarkaupstaður,22498,144
Helgafellssveit,54,250
Höfðahreppur,545,49
Hörgárbyggð,397,809
Hrunamannahreppur,766,1214
Húnaþing vestra,1174,2505
Húnavatnshreppur,466,3823
Hvalfjarðarsveit,603,494
Hveragerðisbær,2084,11
Ísafjarðarbær,4108,2416
Kaldrananeshreppur,112,459
Kjósarhreppur,163,288
Kópavogsbær,26512,113
Langanesbyggð,542,1340
Mosfellsbær,7165,197
Mýrdalshreppur,504,761
Norðurþing,3031,3755
Rangárþing eystra,1669,1727
Rangárþing ytra,1454,3177
Reykhólahreppur,251,1103
Reykjanesbær,11367,142
Reykjavíkurborg,114968,273
Sandgerðisbær,1538,65
Seltjarnarneskaupstaður,4471,2
Seyðisfjarðarkaupstaður,736,214
Skaftárhreppur,491,6905
Skagabyggð,99,494
Skeiða- og Gnúpverjahreppur,521,2405
Skorradalshreppur,64,208
Skútustaðahreppur,429,6034
Snæfellsbær,1731,689
Strandabyggð,500,1810
Stykkishólmsbær,1166,10
Súðavíkurhreppur,240,761
Svalbarðshreppur,109,1131
Svalbarðsstrandarhreppur,383,50
Sveitarfélagið Álftanes,2205,4130
Sveitarfélagið Árborg,6987,157
Sveitarfélagið Garður,1377,23
Sveitarfélagið Hornafjörður,2181,6317
Sveitarfélagið Ölfus,1794,726
Sveitarfélagið Skagafjörður,4106,4168
Sveitarfélagið Vogar,1019,165
Tálknafjarðarhreppur,302,180
Þingeyjarsveit,687,5440
Tjörneshreppur,63,196
Vestmannaeyjabær,4172,17
Vesturbyggð,964,1334
Vopnafjarðarhreppur,726,1913
Árnessýsla,6535,8816
Austur-Barðastrandarsýsla,304,1103
Austur-Húnavatnssýsla,2201,4547
Austur-Skaftafellssýsla,2336,6317
Borgarfjarðarsýsla,1301,1970
Dalasýsla,747,2439
Eyjafjarðarsýsla,1844,2702
Grindavíkurkaupstaður,2336,434
Gullbringusýsla,3447,253
Hafnarfjörðarkaupstaður,20223,144
Húsavíkurbær,2513,269
Kjósarsýsla,8173,491
Mýrasýsla,2605,3317
Norður-Ísafjarðarsýsla,223,761
Norður-Múlasýsla,1884,11831
Norður-Þingeyjarsýsla,1279,5346
Ólafsfjarðarbær,1035,209
Rangárvallasýsla,3217,7870
Siglufjarðarkaupstaður,1508,156
Skagafjarðarsýsla,230,1361
Snæfellsnessýsla,4284,1819
Strandasýsla,841,3504
Suður-Múlasýsla,3743,3726
Suður-Þingeyjarsýsla,2302,12723
Vestur-Barðastrandarsýsla,1506,1514
Vestur-Húnavatnssýsla,1209,2505
Vestur-Skaftafellssýsla,1068,7666
Kópavogur,35970,
Seltjarnarnes,4575,
Hafnarfjörður,29412,
Sandgerði,1779,
Akranes,7259,
Stykkishólmur,1177,
Bolungarvík,945,
Sveitarfélagið Skagaströnd,482,
Akureyri,18787,
Hörgársveit,580,
Seyðisfjörður,676,
Vestmannaeyjar,4284,
Hveragerði,2566,
