district	density
Nicobar Islands	20
North and Middle Andaman	32
South Andaman	75
Anantapur	213
Chittoor	275
East Godavari	477
Guntur	429
Krishna	188
Kurnool	519
Nellore	229
Prakasam	192
Srikakulam	227
Visakhapatnam	462
Vizianagaram	384
West Godavari	358
Y.S.R.	508
Anjaw	3
Changlang	32
Dibang Valley	1
East Kameng	19
East Siang	27
Kurung Kumey	15
Lohit	61
Longding	0
Lower Dibang Valley	14
Lower Subansiri	24
Namsai	0
Papum Pare	61
Tawang	24
Tirap	47
Upper Siang	6
Upper Subansiri	12
West Kameng	12
West Siang	13
Baksa	475
Barpeta	522
Bongaigaon	425
Cachar	459
Chirang	244
Darrang	491
Dhemaji	213
Dhubri	687
Dibrugarh	393
Dima Hasao	44
Goalpara	553
Golaghat	302
Hailakandi	497
Jorhat	383
Kamrup	436
Kamrup Metropolitan	2010
Karbi Anglong	93
Karimganj	673
Kokrajhar	283
Lakhimpur	457
Morigaon	562
Nagaon	738
Nalbari	763
Sivasagar	431
Sonitpur	362
Tinsukia	347
Udalguri	497
Araria	992
Arwal	1098
Aurangabad	760
Banka	672
Begusarai	1540
Bhagalpur	1180
Bhojpur	1136
Buxar	1003
Darbhanga	1721
Gaya	1281
Gopalganj	880
Jamui	1258
Jehanabad	567
Kaimur	1206
Katihar	488
Khagaria	1004
Kishanganj	1115
Lakhisarai	898
Madhepura	815
Madhubani	1116
Munger	1279
Muzaffarpur	958
Nalanda	1506
Nawada	1220
Pashchim Champaran	889
Patna	1803
Purba Champaran	1014
Purnia	763
Rohtas	1125
Saharsa	1465
Samastipur	1493
Saran	922
Sheikhpura	1882
Sheohar	1491
Sitamarhi	1495
Siwan	919
Supaul	1717
Vaishali	753
Chandigarh	9252
Balod	234
Baloda Bazar	0
Balrampur	157
Bastar	87
Bemetara	69
Bijapur	35
Bilaspur	337
Dantewada	59
Dhamtari	394
Durg	391
Gariaband	0
Janjgir-Champa	421
Jashpur	146
Kabeerdham	195
Kondagaon	115
Korba	0
Koriya	183
Mahasamund	100
Mungeli	216
Narayanpur	0
Raigarh	20
Raipur	211
Rajnandgaon	310
Sukma	191
Surajpur	49
Surguja	150
Uttar Bastar Kanker	150
Dadra and Nagar Haveli	698
Daman	2651
Diu	1301
North Goa	471
South Goa	326
Ahmadabad	890
Amreli	205
Anand	711
Aravalli	327
Banas Kantha	290
Bharuch	238
Bhavnagar	288
Botad	256
Chhota Udaipur	331
Dahod	582
Devbhumi Dwarka	129
Gandhinagar	132
Gir Somnath	660
Jamnagar	324
Junagadh	153
Kachchh	310
Kheda	541
Mahesana	46
Mahisagar	398
Morbi	462
Narmada	197
Navsari	214
Panch Mahals	602
Patan	458
Porbandar	234
Rajkot	255
Sabar Kantha	282
Surat	328
Surendranagar	653
Tapi	167
The Dangs	249
Vadodara	467
Valsad	561
Ambala	722
Bhiwani	341
Faridabad	2298
Fatehabad	371
Gurgaon	1241
Hisar	438
Jhajjar	522
Jind	493
Kaithal	467
Karnal	598
Kurukshetra	630
Mahendragarh	485
Mewat	729
Palwal	761
Panchkula	622
Panipat	949
Rewari	562
Rohtak	607
Sirsa	303
Sonipat	697
Yamunanagar	687
Bilaspur	327
Chamba	80
Hamirpur	406
Kangra	263
Kinnaur	13
Kullu	79
Lahul & Spiti	2
Mandi	253
Shimla	159
Sirmaur	188
Solan	298
Una	328
Anantnag	375
Badgam	128
Bandipore	305
Baramulla	537
Doda	79
Ganderbal	1151
Jammu	596
Kargil	10
Kathua	232
Kishtwar	30
Kulgam	925
Kupwara	368
Leh (Ladakh)	3
Poonch	285
Pulwama	598
Rajouri	235
Ramban	213
Reasi	184
Samba	318
Shupiyan	852
Srinagar	703
Udhampur	211
Bokaro	716
Chatra	275
Deoghar	602
Dhanbad	1284
Dumka	300
Garhwa	648
Giridih	327
Godda	497
Gumla	622
Hazaribagh	193
Jamtara	403
Khunti	439
Kodarma	215
Latehar	427
Lohardaga	200
Pakur	310
Palamu	498
Pashchimi Singhbhum	381
Purbi Singhbhum	684
Ramgarh	557
Ranchi	719
Sahibganj	390
Saraikela-kharsawan	160
Simdega	209
Bagalkot	288
Bangalore	300
Bangalore Rural	356
Belgaum	441
Bellary	4378
Bidar	312
Bijapur	200
Chamrajnagar	298
Chikballapura	158
Chikmagalur	197
Chitradurga	457
Dakshina Kannada	329
Davanagere	434
Dharwad	229
Gadag	261
Gulbarga	331
Hassan	233
Haveri	135
Kodagu	384
Kolar	250
Koppal	365
Mandya	437
Mysore	228
Raichur	303
Ramanagara	207
Shimoga	253
Tumkur	304
Udupi	132
Uttara Kannada	207
Yadgir	224
Alappuzha	1501
Ernakulam	1069
Idukki	254
Kannur	852
Kasaragod	654
Kollam	1056
Kottayam	896
Kozhikode	1318
Malappuram	1058
Palakkad	627
Pathanamthitta	453
Thiruvananthapuram	1026
Thrissur	1509
Wayanad	383
Lakshadweep	2013
Agar Malwa	0
Alirajpur	229
Anuppur	200
Ashoknagar	181
