nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;68;ACEH
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;160;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;101;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;45;RIAU
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;48;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;68;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;73;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;194;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;55;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;127;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;12592;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;1010;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;952;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;996;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;727;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;838;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;545;BALI
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;216;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;78;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;27;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;12;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;77;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;12;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2000;Tahun;144;"SULAWESI UTARA"
