state,value
Aoujeft,.5293
Atar,1.577
Ouadane,0.03341
Barkewol,12.37
Boumdeid,1.833
Guerou,16.51
Kankossa,8.054
Kiffa,8.996
Aleg,6.399
Bababe,31.15
Boghe,42.42
M'Bagne,63.56
Magta-Lahjar,4.170
Nouadhibou,7.472
Kaedi,28.95
M'Bout,18.62
Maghama,29.50
Monguel,24.77
Ould Yenge,19.25
Selibabi,27.40
Amourj,10.38
Bassikounou,5.160
Djiguenni,11.39
Nema,9.067
Oualata,.09540
Timbedra,6.932
Aioun El Atrouss,3.676
Kobenni,10.39
Tamkchekett,2.955
Tintane,9.630
Akjoujt,0.4882
Nouakchott,3457
Moudjeria,3.499
Tichitt,0.064
Tidjikdja,1.817
Birmoguren,.04526
F'Derick,.02753
Zouerate,55.53
Boutilimit,1.944
Keurmacen,10.23
Mederdra,4.703
Ouad Naga,1.093
R'Kiz,13.85
Rosso,40.94



