County,Population,Density,Women
Oslo,"599,230",12.1,79.7
Akershus,"545,653",11,76.4
Hordaland,"484,240",9.8,82.4
Rogaland,"436,087",8.8,81.2
Sør-Trøndelag,"294,066",5.9,77.1
Østfold,"274,827",5.5,77.7
Buskerud,"261,110",5.3,78.3
Møre og Romsdal,"253,904",5.1,78.8
Nordland,"237,280",4.8,76.9
Vestfold,"233,705",4.7,78.6
Hedmark,"191,622",3.8,78.2
Oppland,"186,087",3.7,79.3
Vest-Agder,"172,408",3.5,83.2
Telemark,"169,185",3.4,82.3
Troms,"157,554",3.2,79
Nord-Trøndelag,"132,140",2.6,80.7
Aust-Agder,"110,048",2.2,79.5
Sogn og Fjordane,"107,742",2.1,77.1
Finnmark,"73,417",1.4,78.2
Norway,"4,920,305",100,75.7
