English_Name	Polish_Name	 Capital_Cities	Population	Area	Population_Density
Lower Silsesian	dolnośląskie	Wrocław	19,947	2,914,362	146
Kuyavian-Pomeranian	kujawsko-pomorskie	Bydgoszcz1, Toruń2	17,972	2,096,404	117
Lublin	lubelskie	Lublin	25,122	2,165,651	86
Lubusz	lubuskie	Gorzów Wielkopolski1, Zielona Góra2	13,988	1,023,317	73
Łódź	łódzkie	Łódź	18,219	2,524,651	139
Lesser Poland	małopolskie	Kraków	15,183	3,354,077	221
Masovian	mazowieckie	Warsaw	35,558	5,301,760	149
Opole	opolskie	Opole	9,412	1,010,203	107
Subcarpathian	podkarpackie	Rzeszów	17,846	2,129,951	119
Podlaskie	podlaskie	Białystok	20,187	1,198,690	59
Pomeranian	pomorskie	Gdańsk	18,310	2,290,070	125
Silesian	śląskie	Katowice	12,333	4,615,870	374
Holy Cross	świętokrzyskie	Kielce	11,711	1,273,995	109
Warmian-Masurian	warmińsko-mazurskie	Olsztyn	24,173	1,450,697	60
Greater Poland	wielkopolskie	Poznań	29,826	3,462,196	116
West Pomeranian	zachodniopomorskie	Szczecin	22,892	1,721,405	75
