Planning Area,Population,Area,Density,Region
Ang Mo Kio,174770,13.94,12538.2,North East
Bedok,289750,21.69,13360.5,East
Bishan,90700,7.62,11896.6,Central
Boon Lay,30,8.23,3.6,West
Bukit Batok,139270,11.13,12513,West
Bukit Merah,155840,14.34,10871.3,Central
Bukit Panjang,139030,8.99,15466.7,West
Bukit Timah,74470,17.53,4248.4,Central
Central Water Catchment,10,37.15,0.3,North
Changi,2530,40.61,62.3,East
Changi Bay,0,1.7,0,East
Choa Chu Kang,174330,6.11,28513.2,West
Clementi,91630,9.49,9650.3,West
Downtown Core,3720,4.34,857.1,Central
Geylang,116960,9.64,12129,Central
Hougang,222310,13.93,15960.2,North East
Jurong East,84980,17.83,4766.9,West
Jurong West,272660,14.69,18563.5,West
Kallang,101210,9.17,11038.3,Central
Lim Chu Kang,90,17.3,5.2,North
Mandai,2120,11.77,180.2,North
Marina East,0,1.82,0,Central
Marina South,0,1.62,0,Central
Marine Parade,48730,6.12,7966.3,Central
Museum,380,0.83,457.8,Central
Newton,6920,2.07,3344.6,Central
North-Eastern Islands,60,42.88,1.4,North East
Novena,47990,8.98,5344.1,Central
Orchard,920,0.96,960.3,Central
Outram,22080,1.37,16081.6,Central
Pasir Ris,139890,15.02,9313,East
Paya Lebar,40,11.69,3.4,East
Pioneer,100,12.1,8.3,West
Punggol,109750,9.34,11746.8,North East
Queenstown,98050,20.43,4800.5,Central
River Valley,9190,1.48,6230.5,Central
Rochor,14590,1.62,9034.1,Central
Seletar,270,10.25,26.3,North East
Sembawang,76530,12.34,6203.3,North
Sengkang,206680,10.59,19511,North East
Serangoon,120670,10.1,11945.2,North East
Simpang,0,5.13,0,North
Singapore River,2720,0.96,2842.2,Central
Southern Islands,1480,6.07,244,Central
Straits View,0,0.77,0,Central
Sungei Kadut,850,15.99,53.2,North
Tampines,261230,20.89,12506.2,East
Tanglin,19000,7.63,2491.8,Central
Tengah,10,7.4,1.4,West
Toa Payoh,124940,10,15298.2,Central
Tuas,70,30.04,2.3,West
Western Islands,0,39.47,0,West
Western Water Catchment,900,69.46,13,West
Woodlands,250290,13.59,18424,North
Yishun,201970,21.24,9507.2,North
