cities,density
Ale,391.2142857
Alingsås,460.2380952
Älmhult,371
Älvdalen,242.8571429
Alvesta,767
Älvkarleby,513.5
Älvsbyn,266.83
Åmål,445.5
Aneby,292.33
Ånge,291.33
Ängelholm,610.6
Arboga,219
Åre,438.7142857
Årjäng,298.2
Arjeplog,224
Arvidsjaur,161.67
Arvika,301.9
Åsele,110
Askersund,545.89
Åstorp,462
Åtvidaberg,697
Avesta,350.7
Båstad,485.3
Bengtsfors,308
Berg,234.2
Bjurholm,229
Bjuv,527
Boden,337.2307692
Bollebygd,456.83
Bollnäs,268.8636364
Borås,496.4285714
Borgholm,239.1
Borlänge,419
Botkyrka,897.4285714
Boxholm,161
Bräcke,306.2
Bromölla,516.67
Burlöv,1006.5
Dals-Ed,243
Danderyd,
Degerfors,443.33
Dorotea,170.33
Eda,241.4
Ekerö,670.5185185
Eksjö,704
Emmaboda,373.5
Enköping,490.8461538
Eskilstuna,416.94
Eslöv,831.89
Essunga,440.5
Fagersta,336.2
Falkenberg,368.1428571
Falköping,403.33
Falun,328.972973
Färgelanda,871.33
Filipstad,286.5
Finspång,386.25
Flen,347.5
Forshaga,813.67
Gagnef,418.93
Gällivare,222.5555556
Gävle,633.13
Gislaved,404
Gnesta,341.75
Gnosjö,577.67
Göteborg,810.7857143
Götene,443.8571429
Gotland,336.5306122
Grästorp,550
Grums,413.6
Gullspång,233.5
Habo,959.8571429
Håbo,715.33
Hagfors,262.125
Hällefors,398.5
Hallsberg,371
Hallstahammar,1149.5
Halmstad,637.6
Hammarö,344.25
Haninge,511.5263158
Haparanda,330
Härjedalen,268.6363636
Härnösand,412.1
Härryda,636.5
Hässleholm,436.375
Heby,613.5
Hedemora,460
Helsingborg,750.9230769
Herrljunga,441.33
Hjo,591
Hofors,432
Höganäs,516.25
Högsby,361.67
Höör,744.2
Hörby,515.8181818
Huddinge,323
Hudiksvall,406.75o
Hultsfred,337
Hylte,467
Järfälla,624
Jokkmokk,149.67
