Prefecture,Population,Population_Density,IncomePerCapita
Hokkaido,5384,68.6,258.29
Aomori,1309,135.7,245.72
Iwate,1280,83.8,275.10
Miyagi,2334,320.5,280.45
Akita,1023,87.9,253.29
Yamagata,1123,120.4,263.03
Fukushima,1914,138.8,291.24
Ibaraki,2918,478.6,310.25
Tochigi,1975,308.2,322.66
Gunma,1973,310.2,310.58
Saitama,7261,1912.0,288.34
Chiba,6224,1206.8,295.12
Tokyo,13514,6168.1,443.45
Kanagawa,9127,3778.2,291.33
Niigata,2305,183.2,272.89
Toyama,1067,251.2,321.18
Ishikawa,1154,275.8,295.88
Fukui,787,187.8,300.14
Yamanashi,835,187.0,283.46
Nagano,2100,154.8,284.98
Gifu,2033,191.4,274.25
Shizuoka,3701,475.8,323.48
Aichi,7484,1446.9,350.29
Mie,1816,314.5,317.40
Shiga,1413,351.8,313.12
Kyoto,2610,565.9,303.40
Osaka,8839,4639.9,301.42
Hyogo,5537,659.1,285.45
Nara,1365,369.8,257.10
Wakayama,964,204.0,284.80
Tottori,574,163.6,234.65
Shimane,694,103.5,246.29
Okayama,1922,270.2,272.38
Hiroshima,2845,335.5,314.14
Yamaguchi,1405,229.9,315.74
Tokushima,756,182.3,295.91
Kagawa,977,520.5,291.70
Ehime,1386,244.2,255.76
Kochi,728,102.5,258.82
Fukuoka,5103,1023.4,275.19
Saga,833,341.4,253.08
Nagasaki,1378,333.4,238.71
Kumamoto,1787,241.2,242.25
Oita,1167,184.0,260.78
Miyazaki,1104,142.8,242.08
Kagoshima,1649,179.4,243.41
Okinawa,1434,628.7,210.17
