province,total,urban,rural,area
Kayah,286738,72444,214294,11731.5
Chin,478690,99905,378785,36018.8
Naypyitaw,1159341,376667,781700,7054.0
Tanintharyi,1406434,337513,1068921,44344.9
Kayin,1572657,329127,1173777,30383.0
Kachin,1689654,590462,1052592,89041.8
Mon,2050282,570432,1479850,12296.6
Rakhine,3188963,354941,1744022,36778.0
Magway,3912711,591396,3321315,44820.6	
Bago,5320299,1070346,3793109,39402.3
Sagaing,5320299,909478,4410821,93704.8
Shan,5815384,1394691,4420693,155801.3
Mandalay,6145588,2137025,4008563,37945.6
Ayeyarwady,6175123,873046,5302077,35031.8
Yangon,7355075,5156646,2198429,10276.7
