province,population,growth_rate,area,density
Adana,2 216 475,5.8,14045.56,157.806096730924
Adıyaman, 615 076,8.0,7606.16,80.8655090084879
Afyonkarahisar, 715 693,3.4,14718.63,48.6249739276006
Ağrı, 536 285,-7.6,11498.67,46.6388721478223
Amasya, 329 888,3.3,5703.78,57.8367328333141
Ankara,5 445 026,17.8,25401.94,214.354730386734
Antalya,2 364 396,20.3,20790.56,113.724498041419
Artvin, 166 143,-5.3,7367.10,22.5520218267704
Aydın,1 080 839,13.0,7904.43,136.738385943072
Balıkesir,1 204 824,7.0,14472.73,83.2478737598228
Bilecik, 221 693,13.0,4306.77,51.4754676938866
Bingöl, 273 354,8.5,8253.51,33.1197272433183
Bitlis, 341 474,4.3,7094.50,48.1322150962013
Bolu, 303 184,15.8,8323.39,36.4255429578573
Burdur, 264 779,0.4,7134.95,37.1101409260051
Bursa,2 936 803,15.9,10886.38,269.76855483641
Çanakkale, 530 417,11.3,9950.43,53.3059375323478
Çankırı, 186 074,-6.8,7491.89,24.836723443617
Çorum, 528 422,-1.3,12796.21,41.2951959994405
Denizli,1 018 735,12.1,11804.19,86.302829757908
Diyarbakır,1 699 901,13.4,15204.01,111.806095891807
Edirne, 406 855,1.8,6097.91,66.7204009242511
Elazığ, 583 671,6.3,9281.45,62.8857559971772
Erzincan, 231 511,8.7,11727.55,19.7407813226121
Erzurum, 760 476,-2.2,25330.90,30.0216731343932
Eskişehir, 860 620,18.9,13902.03,61.9060669556892
Gaziantep,2 005 515,19.1,6844.84,292.996622273128
Giresun, 437 393,5.9,6831.58,64.0251596263236
Gümüşhane, 170 173,13.9,6437.01,26.4366530423287
Hakkari, 275 761,-0.1,7178.88,38.4128164839084
Hatay,1 575 226,10.3,5831.36,270.130124019097
Isparta, 433 830,3.8,8871.08,48.903853871231
Mersin,1 793 931,10.9,15512.25,115.646086157714
İstanbul,15 029 231,13.6,5315.33,2827.52547819232
İzmir,4 279 677,11.3,12015.61,356.176423835328
Kars, 287 654,-10.9,10139.09,28.3707906725357
Kastamonu, 372 373,5.5,13157.98,28.3001646149333
Kayseri,1 376 722,13.6,17109.33,80.4661550160059
Kırklareli, 356 050,8.5,6299.78,56.5178466549626
Kırşehir, 234 529,14.6,6530.32,35.9138602702471
Kocaeli,1 883 270,27.1,3625.29,519.48120012468
Konya,2 180 149,10.7,40813.52,53.4173234751622
Kütahya, 572 256,1.4,12013.57,47.6341337337694
Malatya, 786 676,6.8,12102.70,65.0000413130954
Manisa,1 413 041,8.2,13228.50,106.817930982349
Kahramanmaraş,1 127 62311.1,14,456.74,77.9998118524647
Mardin, 809 719,9.1,8806.04,91.9504113086018
Muğla, 938 751,16.8,12949.21,72.4948471760053
Muş, 404 544,-2.9,8067.16,50.1470158023394
Nevşehir, 292 365,5.6,5391.64,54.2256159535874
Niğde, 352 727,6.0,7365.29,47.8904428746186
Ordu, 742 341,3.8,5952.49,124.71100329442
Rize, 331 041,0.9,3921.98,84.4066007475816
Sakarya, 990 214,19.4,4880.19,202.904804935873
Samsun,1 312 990,9.5,9364.10,140.215290310868
Siirt, 324 394,9.7,5473.29,59.2685569374179
Sinop, 207 427,3.0,5816.55,35.6615175662549
Sivas, 621 301,-1.7,28567.34,21.7486472314188
Tekirdağ,1 005 463,32.1,6342.30,158.532866625672
Tokat, 602 086,0.8,10072.62,59.7745174542473
Trabzon, 786 326,8.6,4664.04,168.593322527251
Tunceli, 82 498,-10.3,7685.66,10.7340163369184
Şanlıurfa,1 985 753,22.0,19336.21,102.696081600272
Uşak, 364 971,13.3,5363.09,68.0523727925506
Van,1 106 891,6.9,19414.14,57.0146810520579
Yozgat, 418 650,-13.1,14074.09,29.7461505504086
Zonguldak, 596 892,-3.2,3309.86,180.337536935097
Aksaray, 402 404,14.4,7965.51,50.5182970079756
Bayburt, 80 417,9.5,3739.08,21.5071621896295
Karaman, 246 672,7.9,8868.90,27.8131448093901
Kırıkkale, 278 749,2.8,4569.76,60.9986082420083
Batman, 585 252,16.3,4659.21,125.611852653132
Şırnak, 503 236,11.5,7151.57,70.3672060820212
Bartın, 193 577,3.9,2080.36,93.0497606183545
Ardahan, 97 096,-14.1,4967.63,19.5457391150307
Iğdır, 194 775,4.8,3587.81,54.2879918390327
Yalova, 251 203,34.1,850.46,295.373092208922
Karabük, 244 453,15.0,4108.80,59.4949863707165
Kilis, 136 319,7.9,1427.76,95.477531237743
Osmaniye, 527 724,12.3,3195.99,165.120666835628
Düzce, 377 610,17.1,2592.95,145.629495362425
