province,Labour force (Thousand Persons)
An Giang,1300.4
Bà R_a - V_ng Tàu,553.9
B_c Giang,989.4
B_c K_n,199.6
B_c Liêu,514
B_c Ninh,593.5
B_n Tre,777.1
Bình __nh,880.4
Bình D__ng,1077.6
Bình Ph__c,531.7
Bình Thu_n,664.4
Cà Mau,684.3
C_n Th_,690.7
Cao B_ng,341.2
_à N_ng ,496.2
__k L_k,1012.2
__k Nông,306.6
_i_n Biên,300.4
__ng Nai,1553.8
__ng Tháp,994.4
Gia Lai,783.9
Hà Giang,467.7
Hà Nam,464
Hà N_i,3572.9
Hà Tây,
Hà T_nh,702.3
H_i D__ng,1071
H_i Phòng,1075.3
H_u Giang,456
Hòa Bình,536.2
H_ng Yên,707.1
Khánh Hòa,656.6
Kiên Giang,1008.6
Kon Tum,259.7
Lai Châu,224.8
Lâm __ng,689.1
L_ng S_n,480.1
Lào Cai,377.8
Long An,841.7
Nam __nh,1082.2
Ngh_ An,1757.8
Ninh Bình,553
Ninh Thu_n,317.2
Phú Th_,841.3
Phú Yên,513.1
Qu_ng Bình,484.4
Qu_ng Nam,811.6
Qu_ng Ngãi,711
Qu_ng Ninh,674.9
Qu_ng Tr_,333.9
Sóc Tr_ng,744.1
S_n La,684
Tây Ninh,644.5
Thái Bình,1134.2
Thái Nguyên,687.7
Thanh Hóa,2225.1
Th_a Thiên - Hu_,596.8
Ti_n Giang,987.7
TP. H_ Chí Minh,4000.9
Trà Vinh,616.6
Tuyên Quang,450.2
V_nh Long,622.8
V_nh Phúc,608.3
Yên Bái,478.5
